symbol,name,total_market_cap,turnover_rate,source
002871.SZ,伟隆股份,0.0,0.0,bootstrap
002875.SZ,安奈儿,0.0,0.0,bootstrap
002896.SZ,中大力德,0.0,0.0,bootstrap
002903.SZ,宇环数控,0.0,0.0,bootstrap
002909.SZ,集泰股份,0.0,0.0,bootstrap
002915.SZ,中欣氟材,0.0,0.0,bootstrap
002917.SZ,金奥博,0.0,0.0,bootstrap
002922.SZ,伊戈尔,0.0,0.0,bootstrap
002923.SZ,润都股份,0.0,0.0,bootstrap
003015.SZ,日久光电,0.0,0.0,bootstrap
003016.SZ,欣贺股份,0.0,0.0,bootstrap
003017.SZ,大洋生物,0.0,0.0,bootstrap
003018.SZ,金富科技,0.0,0.0,bootstrap
003020.SZ,立方制药,0.0,0.0,bootstrap
003023.SZ,彩虹集团,0.0,0.0,bootstrap
003025.SZ,思进智能,0.0,0.0,bootstrap
603655.SH,朗博科技,0.0,0.0,bootstrap
603679.SH,华体科技,0.0,0.0,bootstrap
603721.SH,中广天择,0.0,0.0,bootstrap
