symbol,date,close,momentum,rank
003023.SZ,2026-08-19,27.75,0.27352,1
003020.SZ,2026-08-19,19.41,0.234733,2
002923.SZ,2026-08-19,11.66,0.139785,3
603679.SH,2026-08-19,22.73,0.077762,4
603655.SH,2026-08-19,33.75,0.051402,5
003016.SZ,2026-08-19,7.02,0.0462,6
003017.SZ,2026-08-19,23.31,0.029912,7
002883.SZ,2026-08-19,9.39,0.025109,8
003015.SZ,2026-08-19,12.6,0.021898,9
002896.SZ,2026-08-19,76.4,-0.00456,10
603721.SH,2026-08-19,18.33,-0.016103,11
002909.SZ,2026-08-19,5.08,-0.043315,12
002917.SZ,2026-08-19,10.44,-0.054433,13
002915.SZ,2026-08-19,17.21,-0.148441,14
002922.SZ,2026-08-19,27.14,-0.202937,15
003025.SZ,2026-08-19,12.58,-0.204804,16
002875.SZ,2026-08-19,13.05,-0.207169,17
002871.SZ,2026-08-19,16.5,-0.208253,18
003018.SZ,2026-08-19,43.05,-0.231881,19
002903.SZ,2026-08-19,29.79,-0.415768,20
