symbol,entry_date,exit_date,quantity,entry_price,exit_price,pnl,return_pct,cost,win
002875.SZ,2021-11-30,2022-01-26,17900,9.4828,9.3972,-1802.9809,-0.010622,269.5953,False
002909.SZ,2021-11-30,2022-01-26,23100,7.3322,6.4481,-20667.9429,-0.122026,244.4475,False
002915.SZ,2021-11-30,2022-01-26,7100,23.6871,17.6047,-43397.8928,-0.258047,212.9451,False
002915.SZ,2021-12-28,2022-01-26,700,20.6762,17.6047,-2171.0591,-0.150004,21.0203,False
002871.SZ,2021-11-30,2022-01-26,26100,6.4919,6.1881,-8190.08,-0.048336,260.7956,False
002896.SZ,2021-11-30,2022-01-26,11700,14.4943,12.1963,-27123.0634,-0.159939,236.3815,False
002875.SZ,2024-03-22,2024-04-23,9100,16.615,9.967,-60659.832,-0.401199,163.2686,False
002903.SZ,2024-03-22,2024-04-23,7300,20.8863,16.505,-32185.2579,-0.211093,202.3738,False
003025.SZ,2024-03-22,2024-04-23,13300,11.4214,8.8154,-34858.7306,-0.229477,197.989,False
603721.SH,2024-03-22,2024-04-23,1300,42.5228,26.8819,-20395.0803,-0.368944,62.0143,False
002896.SZ,2024-03-22,2024-04-23,2800,28.7486,23.9928,-13427.7842,-0.166813,111.4826,False
002896.SZ,2024-03-22,2024-05-24,2500,28.7486,23.8328,-12388.4532,-0.172369,99.0182,False
603721.SH,2024-03-22,2024-05-24,2200,42.5228,26.0822,-36271.936,-0.387728,102.66,False
603679.SH,2024-04-23,2024-05-24,5000,11.6135,10.8567,-3871.694,-0.066676,87.989,False
003015.SZ,2024-04-23,2024-05-24,6400,9.0547,9.934,5527.505,0.095384,100.0361,True
002883.SZ,2024-04-23,2024-05-24,6000,9.6579,9.6521,-127.4286,-0.002199,92.6706,False
003023.SZ,2024-04-23,2024-06-24,3800,15.3946,14.4657,-3619.0506,-0.061865,89.0102,False
003023.SZ,2024-05-24,2024-06-24,2500,16.1949,14.4657,-4382.1545,-0.108236,59.1595,False
002923.SZ,2024-04-23,2024-06-24,6000,9.6829,8.8773,-4920.0804,-0.084687,86.6724,False
002923.SZ,2024-05-24,2024-06-24,3600,10.6532,8.8773,-6446.1438,-0.168081,53.0514,False
003020.SZ,2024-05-24,2024-06-24,6300,16.3109,13.9958,-14730.5315,-0.143351,145.4532,False
002922.SZ,2024-04-23,2024-06-24,1700,15.7437,22.7982,11934.1293,0.445897,58.4132,True
003018.SZ,2024-04-23,2024-06-24,4700,6.1528,6.507,1616.3158,0.055892,48.4336,True
002917.SZ,2024-04-23,2024-06-24,2200,8.3665,8.4715,201.1367,0.010928,29.7503,True
003025.SZ,2024-06-24,2024-07-22,7700,9.3618,10.056,5222.8583,0.072453,122.2862,True
002922.SZ,2024-04-23,2024-07-22,2000,15.7437,17.2098,2878.0358,0.091403,54.1918,True
002922.SZ,2024-05-24,2024-07-22,1200,20.6012,17.2098,-4103.8754,-0.166005,34.2638,False
603679.SH,2024-06-24,2024-07-22,5800,12.4137,10.7168,-9944.6506,-0.138121,102.4044,False
002917.SZ,2024-04-23,2024-07-22,4800,8.3665,7.9306,-2153.8025,-0.053632,61.5348,False
002917.SZ,2024-05-24,2024-07-22,3800,9.4368,7.9306,-5773.5336,-0.161002,49.9352,False
