symbol,date,close,momentum,rank
003023.SZ,2026-08-20,27.28,0.324915,1
003020.SZ,2026-08-20,19.21,0.248213,2
002923.SZ,2026-08-20,11.87,0.224974,3
003016.SZ,2026-08-20,6.94,0.096367,4
603655.SH,2026-08-20,32.49,0.089537,5
002883.SZ,2026-08-20,9.11,0.0213,6
003015.SZ,2026-08-20,12.57,0.021121,7
603679.SH,2026-08-20,21.58,0.017445,8
003017.SZ,2026-08-20,22.36,0.015579,9
002896.SZ,2026-08-20,76.4,-0.00456,10
002909.SZ,2026-08-20,5.08,-0.043315,11
002917.SZ,2026-08-20,10.08,-0.059789,12
603721.SH,2026-08-20,17.27,-0.095812,13
003025.SZ,2026-08-20,12.33,-0.144938,14
002915.SZ,2026-08-20,17.21,-0.148441,15
002875.SZ,2026-08-20,13.05,-0.207169,16
002871.SZ,2026-08-20,16.5,-0.208253,17
002922.SZ,2026-08-20,25.39,-0.235241,18
003018.SZ,2026-08-20,39.74,-0.38483,19
002903.SZ,2026-08-20,27.88,-0.453333,20
